"","Notes","Residence State","Residence State Code","MMWR Week","MMWR Week Code","UCD - ICD Sub-Chapter","UCD - ICD Sub-Chapter Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Deaths","Population","Crude Rate"
"1615",NA,"California","06","2019 Week 09 ending March 02, 2019","2019/09","Renal failure","N17-N19","75-84 years","75-84",20,"Not Applicable","Not Applicable"
"1616",NA,"California","06","2019 Week 09 ending March 02, 2019","2019/09","Renal failure","N17-N19","85+ years","85+",39,"Not Applicable","Not Applicable"
"1617",NA,"California","06","2019 Week 10 ending March 09, 2019","2019/10","Renal failure","N17-N19","65-74 years","65-74",17,"Not Applicable","Not Applicable"
"1618",NA,"California","06","2019 Week 10 ending March 09, 2019","2019/10","Renal failure","N17-N19","75-84 years","75-84",34,"Not Applicable","Not Applicable"
"1619",NA,"California","06","2019 Week 10 ending March 09, 2019","2019/10","Renal failure","N17-N19","85+ years","85+",40,"Not Applicable","Not Applicable"
"1620",NA,"California","06","2019 Week 11 ending March 16, 2019","2019/11","Renal failure","N17-N19","65-74 years","65-74",18,"Not Applicable","Not Applicable"
"1621",NA,"California","06","2019 Week 11 ending March 16, 2019","2019/11","Renal failure","N17-N19","75-84 years","75-84",29,"Not Applicable","Not Applicable"
"1622",NA,"California","06","2019 Week 11 ending March 16, 2019","2019/11","Renal failure","N17-N19","85+ years","85+",27,"Not Applicable","Not Applicable"
"1623",NA,"California","06","2019 Week 12 ending March 23, 2019","2019/12","Renal failure","N17-N19","55-64 years","55-64",11,"Not Applicable","Not Applicable"
"1624",NA,"California","06","2019 Week 12 ending March 23, 2019","2019/12","Renal failure","N17-N19","65-74 years","65-74",16,"Not Applicable","Not Applicable"
"1625",NA,"California","06","2019 Week 12 ending March 23, 2019","2019/12","Renal failure","N17-N19","75-84 years","75-84",19,"Not Applicable","Not Applicable"
"1626",NA,"California","06","2019 Week 12 ending March 23, 2019","2019/12","Renal failure","N17-N19","85+ years","85+",18,"Not Applicable","Not Applicable"
"1627",NA,"California","06","2019 Week 13 ending March 30, 2019","2019/13","Renal failure","N17-N19","55-64 years","55-64",12,"Not Applicable","Not Applicable"
"1628",NA,"California","06","2019 Week 13 ending March 30, 2019","2019/13","Renal failure","N17-N19","65-74 years","65-74",19,"Not Applicable","Not Applicable"
"1629",NA,"California","06","2019 Week 13 ending March 30, 2019","2019/13","Renal failure","N17-N19","75-84 years","75-84",19,"Not Applicable","Not Applicable"
"1630",NA,"California","06","2019 Week 13 ending March 30, 2019","2019/13","Renal failure","N17-N19","85+ years","85+",25,"Not Applicable","Not Applicable"
"1631",NA,"California","06","2019 Week 14 ending April 06, 2019","2019/14","Renal failure","N17-N19","55-64 years","55-64",15,"Not Applicable","Not Applicable"
"1632",NA,"California","06","2019 Week 14 ending April 06, 2019","2019/14","Renal failure","N17-N19","65-74 years","65-74",16,"Not Applicable","Not Applicable"
"1633",NA,"California","06","2019 Week 14 ending April 06, 2019","2019/14","Renal failure","N17-N19","75-84 years","75-84",18,"Not Applicable","Not Applicable"
"1634",NA,"California","06","2019 Week 14 ending April 06, 2019","2019/14","Renal failure","N17-N19","85+ years","85+",20,"Not Applicable","Not Applicable"
"1635",NA,"California","06","2019 Week 15 ending April 13, 2019","2019/15","Renal failure","N17-N19","75-84 years","75-84",31,"Not Applicable","Not Applicable"
"1636",NA,"California","06","2019 Week 15 ending April 13, 2019","2019/15","Renal failure","N17-N19","85+ years","85+",16,"Not Applicable","Not Applicable"
"1637",NA,"California","06","2019 Week 16 ending April 20, 2019","2019/16","Renal failure","N17-N19","65-74 years","65-74",13,"Not Applicable","Not Applicable"
"1638",NA,"California","06","2019 Week 16 ending April 20, 2019","2019/16","Renal failure","N17-N19","75-84 years","75-84",13,"Not Applicable","Not Applicable"
"1639",NA,"California","06","2019 Week 16 ending April 20, 2019","2019/16","Renal failure","N17-N19","85+ years","85+",25,"Not Applicable","Not Applicable"
"1640",NA,"California","06","2019 Week 17 ending April 27, 2019","2019/17","Renal failure","N17-N19","65-74 years","65-74",24,"Not Applicable","Not Applicable"
"1641",NA,"California","06","2019 Week 17 ending April 27, 2019","2019/17","Renal failure","N17-N19","75-84 years","75-84",17,"Not Applicable","Not Applicable"
"1642",NA,"California","06","2019 Week 17 ending April 27, 2019","2019/17","Renal failure","N17-N19","85+ years","85+",13,"Not Applicable","Not Applicable"
"1643",NA,"California","06","2019 Week 18 ending May 04, 2019","2019/18","Renal failure","N17-N19","55-64 years","55-64",11,"Not Applicable","Not Applicable"
"1644",NA,"California","06","2019 Week 18 ending May 04, 2019","2019/18","Renal failure","N17-N19","65-74 years","65-74",18,"Not Applicable","Not Applicable"
"1645",NA,"California","06","2019 Week 18 ending May 04, 2019","2019/18","Renal failure","N17-N19","75-84 years","75-84",14,"Not Applicable","Not Applicable"
"1646",NA,"California","06","2019 Week 18 ending May 04, 2019","2019/18","Renal failure","N17-N19","85+ years","85+",35,"Not Applicable","Not Applicable"
"1647",NA,"California","06","2019 Week 19 ending May 11, 2019","2019/19","Renal failure","N17-N19","65-74 years","65-74",20,"Not Applicable","Not Applicable"
"1648",NA,"California","06","2019 Week 19 ending May 11, 2019","2019/19","Renal failure","N17-N19","75-84 years","75-84",19,"Not Applicable","Not Applicable"
"1649",NA,"California","06","2019 Week 19 ending May 11, 2019","2019/19","Renal failure","N17-N19","85+ years","85+",27,"Not Applicable","Not Applicable"
"1650",NA,"California","06","2019 Week 20 ending May 18, 2019","2019/20","Renal failure","N17-N19","65-74 years","65-74",18,"Not Applicable","Not Applicable"
"1651",NA,"California","06","2019 Week 20 ending May 18, 2019","2019/20","Renal failure","N17-N19","75-84 years","75-84",20,"Not Applicable","Not Applicable"
"1652",NA,"California","06","2019 Week 20 ending May 18, 2019","2019/20","Renal failure","N17-N19","85+ years","85+",24,"Not Applicable","Not Applicable"
"1653",NA,"California","06","2019 Week 21 ending May 25, 2019","2019/21","Renal failure","N17-N19","65-74 years","65-74",16,"Not Applicable","Not Applicable"
"1654",NA,"California","06","2019 Week 21 ending May 25, 2019","2019/21","Renal failure","N17-N19","75-84 years","75-84",21,"Not Applicable","Not Applicable"
"1655",NA,"California","06","2019 Week 21 ending May 25, 2019","2019/21","Renal failure","N17-N19","85+ years","85+",34,"Not Applicable","Not Applicable"
"1656",NA,"California","06","2019 Week 22 ending June 01, 2019","2019/22","Renal failure","N17-N19","65-74 years","65-74",21,"Not Applicable","Not Applicable"
"1657",NA,"California","06","2019 Week 22 ending June 01, 2019","2019/22","Renal failure","N17-N19","75-84 years","75-84",20,"Not Applicable","Not Applicable"
"1658",NA,"California","06","2019 Week 22 ending June 01, 2019","2019/22","Renal failure","N17-N19","85+ years","85+",29,"Not Applicable","Not Applicable"
"1659",NA,"California","06","2019 Week 23 ending June 08, 2019","2019/23","Renal failure","N17-N19","65-74 years","65-74",18,"Not Applicable","Not Applicable"
"1660",NA,"California","06","2019 Week 23 ending June 08, 2019","2019/23","Renal failure","N17-N19","75-84 years","75-84",18,"Not Applicable","Not Applicable"
"1661",NA,"California","06","2019 Week 23 ending June 08, 2019","2019/23","Renal failure","N17-N19","85+ years","85+",20,"Not Applicable","Not Applicable"
"1662",NA,"California","06","2019 Week 24 ending June 15, 2019","2019/24","Renal failure","N17-N19","65-74 years","65-74",20,"Not Applicable","Not Applicable"
"1663",NA,"California","06","2019 Week 24 ending June 15, 2019","2019/24","Renal failure","N17-N19","75-84 years","75-84",23,"Not Applicable","Not Applicable"
"1664",NA,"California","06","2019 Week 24 ending June 15, 2019","2019/24","Renal failure","N17-N19","85+ years","85+",23,"Not Applicable","Not Applicable"
"1665",NA,"California","06","2019 Week 25 ending June 22, 2019","2019/25","Renal failure","N17-N19","55-64 years","55-64",10,"Not Applicable","Not Applicable"
"1666",NA,"California","06","2019 Week 25 ending June 22, 2019","2019/25","Renal failure","N17-N19","65-74 years","65-74",15,"Not Applicable","Not Applicable"
"1667",NA,"California","06","2019 Week 25 ending June 22, 2019","2019/25","Renal failure","N17-N19","75-84 years","75-84",18,"Not Applicable","Not Applicable"
"1668",NA,"California","06","2019 Week 25 ending June 22, 2019","2019/25","Renal failure","N17-N19","85+ years","85+",34,"Not Applicable","Not Applicable"
"1669",NA,"California","06","2019 Week 26 ending June 29, 2019","2019/26","Renal failure","N17-N19","65-74 years","65-74",15,"Not Applicable","Not Applicable"
"1670",NA,"California","06","2019 Week 26 ending June 29, 2019","2019/26","Renal failure","N17-N19","75-84 years","75-84",24,"Not Applicable","Not Applicable"
"1671",NA,"California","06","2019 Week 26 ending June 29, 2019","2019/26","Renal failure","N17-N19","85+ years","85+",27,"Not Applicable","Not Applicable"
"1672",NA,"California","06","2019 Week 27 ending July 06, 2019","2019/27","Renal failure","N17-N19","65-74 years","65-74",19,"Not Applicable","Not Applicable"
"1673",NA,"California","06","2019 Week 27 ending July 06, 2019","2019/27","Renal failure","N17-N19","75-84 years","75-84",19,"Not Applicable","Not Applicable"
"1674",NA,"California","06","2019 Week 27 ending July 06, 2019","2019/27","Renal failure","N17-N19","85+ years","85+",18,"Not Applicable","Not Applicable"
"1675",NA,"California","06","2019 Week 28 ending July 13, 2019","2019/28","Renal failure","N17-N19","65-74 years","65-74",20,"Not Applicable","Not Applicable"
"1676",NA,"California","06","2019 Week 28 ending July 13, 2019","2019/28","Renal failure","N17-N19","75-84 years","75-84",17,"Not Applicable","Not Applicable"
"1677",NA,"California","06","2019 Week 28 ending July 13, 2019","2019/28","Renal failure","N17-N19","85+ years","85+",22,"Not Applicable","Not Applicable"
"1678",NA,"California","06","2019 Week 29 ending July 20, 2019","2019/29","Renal failure","N17-N19","55-64 years","55-64",13,"Not Applicable","Not Applicable"
"1679",NA,"California","06","2019 Week 29 ending July 20, 2019","2019/29","Renal failure","N17-N19","65-74 years","65-74",13,"Not Applicable","Not Applicable"
"1680",NA,"California","06","2019 Week 29 ending July 20, 2019","2019/29","Renal failure","N17-N19","75-84 years","75-84",15,"Not Applicable","Not Applicable"
"1681",NA,"California","06","2019 Week 29 ending July 20, 2019","2019/29","Renal failure","N17-N19","85+ years","85+",13,"Not Applicable","Not Applicable"
"1682",NA,"California","06","2019 Week 30 ending July 27, 2019","2019/30","Renal failure","N17-N19","65-74 years","65-74",14,"Not Applicable","Not Applicable"
"1683",NA,"California","06","2019 Week 30 ending July 27, 2019","2019/30","Renal failure","N17-N19","75-84 years","75-84",26,"Not Applicable","Not Applicable"
"1684",NA,"California","06","2019 Week 30 ending July 27, 2019","2019/30","Renal failure","N17-N19","85+ years","85+",20,"Not Applicable","Not Applicable"
"1685",NA,"California","06","2019 Week 31 ending August 03, 2019","2019/31","Renal failure","N17-N19","65-74 years","65-74",13,"Not Applicable","Not Applicable"
"1686",NA,"California","06","2019 Week 31 ending August 03, 2019","2019/31","Renal failure","N17-N19","75-84 years","75-84",18,"Not Applicable","Not Applicable"
"1687",NA,"California","06","2019 Week 31 ending August 03, 2019","2019/31","Renal failure","N17-N19","85+ years","85+",18,"Not Applicable","Not Applicable"
"1688",NA,"California","06","2019 Week 32 ending August 10, 2019","2019/32","Renal failure","N17-N19","65-74 years","65-74",18,"Not Applicable","Not Applicable"
"1689",NA,"California","06","2019 Week 32 ending August 10, 2019","2019/32","Renal failure","N17-N19","75-84 years","75-84",23,"Not Applicable","Not Applicable"
"1690",NA,"California","06","2019 Week 32 ending August 10, 2019","2019/32","Renal failure","N17-N19","85+ years","85+",18,"Not Applicable","Not Applicable"
"1691",NA,"California","06","2019 Week 33 ending August 17, 2019","2019/33","Renal failure","N17-N19","55-64 years","55-64",10,"Not Applicable","Not Applicable"
"1692",NA,"California","06","2019 Week 33 ending August 17, 2019","2019/33","Renal failure","N17-N19","65-74 years","65-74",10,"Not Applicable","Not Applicable"
"1693",NA,"California","06","2019 Week 33 ending August 17, 2019","2019/33","Renal failure","N17-N19","75-84 years","75-84",22,"Not Applicable","Not Applicable"
"1694",NA,"California","06","2019 Week 33 ending August 17, 2019","2019/33","Renal failure","N17-N19","85+ years","85+",20,"Not Applicable","Not Applicable"
"1695",NA,"California","06","2019 Week 34 ending August 24, 2019","2019/34","Renal failure","N17-N19","55-64 years","55-64",12,"Not Applicable","Not Applicable"
"1696",NA,"California","06","2019 Week 34 ending August 24, 2019","2019/34","Renal failure","N17-N19","65-74 years","65-74",13,"Not Applicable","Not Applicable"
"1697",NA,"California","06","2019 Week 34 ending August 24, 2019","2019/34","Renal failure","N17-N19","75-84 years","75-84",17,"Not Applicable","Not Applicable"
"1698",NA,"California","06","2019 Week 34 ending August 24, 2019","2019/34","Renal failure","N17-N19","85+ years","85+",17,"Not Applicable","Not Applicable"
"1699",NA,"California","06","2019 Week 35 ending August 31, 2019","2019/35","Renal failure","N17-N19","65-74 years","65-74",12,"Not Applicable","Not Applicable"
"1700",NA,"California","06","2019 Week 35 ending August 31, 2019","2019/35","Renal failure","N17-N19","75-84 years","75-84",11,"Not Applicable","Not Applicable"
"1701",NA,"California","06","2019 Week 35 ending August 31, 2019","2019/35","Renal failure","N17-N19","85+ years","85+",22,"Not Applicable","Not Applicable"
"1702",NA,"California","06","2019 Week 36 ending September 07, 2019","2019/36","Renal failure","N17-N19","65-74 years","65-74",17,"Not Applicable","Not Applicable"
"1703",NA,"California","06","2019 Week 36 ending September 07, 2019","2019/36","Renal failure","N17-N19","75-84 years","75-84",13,"Not Applicable","Not Applicable"
"1704",NA,"California","06","2019 Week 36 ending September 07, 2019","2019/36","Renal failure","N17-N19","85+ years","85+",24,"Not Applicable","Not Applicable"
"1705",NA,"California","06","2019 Week 37 ending September 14, 2019","2019/37","Renal failure","N17-N19","65-74 years","65-74",13,"Not Applicable","Not Applicable"
"1706",NA,"California","06","2019 Week 37 ending September 14, 2019","2019/37","Renal failure","N17-N19","85+ years","85+",30,"Not Applicable","Not Applicable"
"1707",NA,"California","06","2019 Week 38 ending September 21, 2019","2019/38","Renal failure","N17-N19","65-74 years","65-74",17,"Not Applicable","Not Applicable"
"1708",NA,"California","06","2019 Week 38 ending September 21, 2019","2019/38","Renal failure","N17-N19","75-84 years","75-84",11,"Not Applicable","Not Applicable"
"1709",NA,"California","06","2019 Week 38 ending September 21, 2019","2019/38","Renal failure","N17-N19","85+ years","85+",22,"Not Applicable","Not Applicable"
"1710",NA,"California","06","2019 Week 39 ending September 28, 2019","2019/39","Renal failure","N17-N19","75-84 years","75-84",14,"Not Applicable","Not Applicable"
"1711",NA,"California","06","2019 Week 39 ending September 28, 2019","2019/39","Renal failure","N17-N19","85+ years","85+",27,"Not Applicable","Not Applicable"
"1712",NA,"California","06","2019 Week 40 ending October 05, 2019","2019/40","Renal failure","N17-N19","65-74 years","65-74",14,"Not Applicable","Not Applicable"
"1713",NA,"California","06","2019 Week 40 ending October 05, 2019","2019/40","Renal failure","N17-N19","75-84 years","75-84",23,"Not Applicable","Not Applicable"
"1714",NA,"California","06","2019 Week 40 ending October 05, 2019","2019/40","Renal failure","N17-N19","85+ years","85+",24,"Not Applicable","Not Applicable"
"1715",NA,"California","06","2019 Week 41 ending October 12, 2019","2019/41","Renal failure","N17-N19","65-74 years","65-74",16,"Not Applicable","Not Applicable"
"1716",NA,"California","06","2019 Week 41 ending October 12, 2019","2019/41","Renal failure","N17-N19","75-84 years","75-84",23,"Not Applicable","Not Applicable"
"1717",NA,"California","06","2019 Week 41 ending October 12, 2019","2019/41","Renal failure","N17-N19","85+ years","85+",21,"Not Applicable","Not Applicable"
"1718",NA,"California","06","2019 Week 42 ending October 19, 2019","2019/42","Renal failure","N17-N19","65-74 years","65-74",17,"Not Applicable","Not Applicable"
"1719",NA,"California","06","2019 Week 42 ending October 19, 2019","2019/42","Renal failure","N17-N19","75-84 years","75-84",23,"Not Applicable","Not Applicable"
"1720",NA,"California","06","2019 Week 42 ending October 19, 2019","2019/42","Renal failure","N17-N19","85+ years","85+",16,"Not Applicable","Not Applicable"
"1721",NA,"California","06","2019 Week 43 ending October 26, 2019","2019/43","Renal failure","N17-N19","65-74 years","65-74",16,"Not Applicable","Not Applicable"
"1722",NA,"California","06","2019 Week 43 ending October 26, 2019","2019/43","Renal failure","N17-N19","75-84 years","75-84",17,"Not Applicable","Not Applicable"
"1723",NA,"California","06","2019 Week 43 ending October 26, 2019","2019/43","Renal failure","N17-N19","85+ years","85+",19,"Not Applicable","Not Applicable"
"1724",NA,"California","06","2019 Week 44 ending November 02, 2019","2019/44","Renal failure","N17-N19","65-74 years","65-74",20,"Not Applicable","Not Applicable"
"1725",NA,"California","06","2019 Week 44 ending November 02, 2019","2019/44","Renal failure","N17-N19","75-84 years","75-84",16,"Not Applicable","Not Applicable"
"1726",NA,"California","06","2019 Week 44 ending November 02, 2019","2019/44","Renal failure","N17-N19","85+ years","85+",24,"Not Applicable","Not Applicable"
"1727",NA,"California","06","2019 Week 45 ending November 09, 2019","2019/45","Renal failure","N17-N19","55-64 years","55-64",13,"Not Applicable","Not Applicable"
"1728",NA,"California","06","2019 Week 45 ending November 09, 2019","2019/45","Renal failure","N17-N19","65-74 years","65-74",11,"Not Applicable","Not Applicable"
"1729",NA,"California","06","2019 Week 45 ending November 09, 2019","2019/45","Renal failure","N17-N19","75-84 years","75-84",15,"Not Applicable","Not Applicable"
"1730",NA,"California","06","2019 Week 45 ending November 09, 2019","2019/45","Renal failure","N17-N19","85+ years","85+",25,"Not Applicable","Not Applicable"
"1731",NA,"California","06","2019 Week 46 ending November 16, 2019","2019/46","Renal failure","N17-N19","55-64 years","55-64",10,"Not Applicable","Not Applicable"
"1732",NA,"California","06","2019 Week 46 ending November 16, 2019","2019/46","Renal failure","N17-N19","65-74 years","65-74",14,"Not Applicable","Not Applicable"
"1733",NA,"California","06","2019 Week 46 ending November 16, 2019","2019/46","Renal failure","N17-N19","75-84 years","75-84",24,"Not Applicable","Not Applicable"
"1734",NA,"California","06","2019 Week 46 ending November 16, 2019","2019/46","Renal failure","N17-N19","85+ years","85+",21,"Not Applicable","Not Applicable"
"1735",NA,"California","06","2019 Week 47 ending November 23, 2019","2019/47","Renal failure","N17-N19","55-64 years","55-64",11,"Not Applicable","Not Applicable"
"1736",NA,"California","06","2019 Week 47 ending November 23, 2019","2019/47","Renal failure","N17-N19","65-74 years","65-74",12,"Not Applicable","Not Applicable"
"1737",NA,"California","06","2019 Week 47 ending November 23, 2019","2019/47","Renal failure","N17-N19","75-84 years","75-84",16,"Not Applicable","Not Applicable"
"1738",NA,"California","06","2019 Week 47 ending November 23, 2019","2019/47","Renal failure","N17-N19","85+ years","85+",20,"Not Applicable","Not Applicable"
"1739",NA,"California","06","2019 Week 48 ending November 30, 2019","2019/48","Renal failure","N17-N19","65-74 years","65-74",14,"Not Applicable","Not Applicable"
"1740",NA,"California","06","2019 Week 48 ending November 30, 2019","2019/48","Renal failure","N17-N19","75-84 years","75-84",17,"Not Applicable","Not Applicable"
"1741",NA,"California","06","2019 Week 48 ending November 30, 2019","2019/48","Renal failure","N17-N19","85+ years","85+",27,"Not Applicable","Not Applicable"
"1742",NA,"California","06","2019 Week 49 ending December 07, 2019","2019/49","Renal failure","N17-N19","65-74 years","65-74",22,"Not Applicable","Not Applicable"
"1743",NA,"California","06","2019 Week 49 ending December 07, 2019","2019/49","Renal failure","N17-N19","75-84 years","75-84",19,"Not Applicable","Not Applicable"
"1744",NA,"California","06","2019 Week 49 ending December 07, 2019","2019/49","Renal failure","N17-N19","85+ years","85+",34,"Not Applicable","Not Applicable"
"1745",NA,"California","06","2019 Week 50 ending December 14, 2019","2019/50","Renal failure","N17-N19","55-64 years","55-64",15,"Not Applicable","Not Applicable"
"1746",NA,"California","06","2019 Week 50 ending December 14, 2019","2019/50","Renal failure","N17-N19","65-74 years","65-74",16,"Not Applicable","Not Applicable"
"1747",NA,"California","06","2019 Week 50 ending December 14, 2019","2019/50","Renal failure","N17-N19","75-84 years","75-84",17,"Not Applicable","Not Applicable"
"1748",NA,"California","06","2019 Week 50 ending December 14, 2019","2019/50","Renal failure","N17-N19","85+ years","85+",30,"Not Applicable","Not Applicable"
"1749",NA,"California","06","2019 Week 51 ending December 21, 2019","2019/51","Renal failure","N17-N19","55-64 years","55-64",10,"Not Applicable","Not Applicable"
"1750",NA,"California","06","2019 Week 51 ending December 21, 2019","2019/51","Renal failure","N17-N19","65-74 years","65-74",14,"Not Applicable","Not Applicable"
"1751",NA,"California","06","2019 Week 51 ending December 21, 2019","2019/51","Renal failure","N17-N19","75-84 years","75-84",13,"Not Applicable","Not Applicable"
"1752",NA,"California","06","2019 Week 51 ending December 21, 2019","2019/51","Renal failure","N17-N19","85+ years","85+",31,"Not Applicable","Not Applicable"
"1753",NA,"California","06","2019 Week 52 ending December 28, 2019","2019/52","Renal failure","N17-N19","55-64 years","55-64",15,"Not Applicable","Not Applicable"
"1754",NA,"California","06","2019 Week 52 ending December 28, 2019","2019/52","Renal failure","N17-N19","65-74 years","65-74",17,"Not Applicable","Not Applicable"
"1755",NA,"California","06","2019 Week 52 ending December 28, 2019","2019/52","Renal failure","N17-N19","75-84 years","75-84",20,"Not Applicable","Not Applicable"
"1756",NA,"California","06","2019 Week 52 ending December 28, 2019","2019/52","Renal failure","N17-N19","85+ years","85+",33,"Not Applicable","Not Applicable"
"1757",NA,"Connecticut","09","2019 Week 04 ending January 26, 2019","2019/04","Renal failure","N17-N19","85+ years","85+",11,"Not Applicable","Not Applicable"
"1758",NA,"Connecticut","09","2019 Week 07 ending February 16, 2019","2019/07","Renal failure","N17-N19","85+ years","85+",11,"Not Applicable","Not Applicable"
"1759",NA,"Connecticut","09","2019 Week 16 ending April 20, 2019","2019/16","Renal failure","N17-N19","85+ years","85+",10,"Not Applicable","Not Applicable"
"1760",NA,"Florida","12","2019 Week 01 ending January 05, 2019","2019/01","Renal failure","N17-N19","65-74 years","65-74",20,"Not Applicable","Not Applicable"
"1761",NA,"Florida","12","2019 Week 01 ending January 05, 2019","2019/01","Renal failure","N17-N19","75-84 years","75-84",20,"Not Applicable","Not Applicable"
"1762",NA,"Florida","12","2019 Week 01 ending January 05, 2019","2019/01","Renal failure","N17-N19","85+ years","85+",23,"Not Applicable","Not Applicable"
"1763",NA,"Florida","12","2019 Week 02 ending January 12, 2019","2019/02","Renal failure","N17-N19","65-74 years","65-74",14,"Not Applicable","Not Applicable"
"1764",NA,"Florida","12","2019 Week 02 ending January 12, 2019","2019/02","Renal failure","N17-N19","75-84 years","75-84",19,"Not Applicable","Not Applicable"
"1765",NA,"Florida","12","2019 Week 02 ending January 12, 2019","2019/02","Renal failure","N17-N19","85+ years","85+",24,"Not Applicable","Not Applicable"
"1766",NA,"Florida","12","2019 Week 03 ending January 19, 2019","2019/03","Renal failure","N17-N19","65-74 years","65-74",21,"Not Applicable","Not Applicable"
"1767",NA,"Florida","12","2019 Week 03 ending January 19, 2019","2019/03","Renal failure","N17-N19","75-84 years","75-84",13,"Not Applicable","Not Applicable"
"1768",NA,"Florida","12","2019 Week 03 ending January 19, 2019","2019/03","Renal failure","N17-N19","85+ years","85+",18,"Not Applicable","Not Applicable"
"1769",NA,"Florida","12","2019 Week 04 ending January 26, 2019","2019/04","Renal failure","N17-N19","65-74 years","65-74",12,"Not Applicable","Not Applicable"
"1770",NA,"Florida","12","2019 Week 04 ending January 26, 2019","2019/04","Renal failure","N17-N19","75-84 years","75-84",19,"Not Applicable","Not Applicable"
"1771",NA,"Florida","12","2019 Week 04 ending January 26, 2019","2019/04","Renal failure","N17-N19","85+ years","85+",25,"Not Applicable","Not Applicable"
"1772",NA,"Florida","12","2019 Week 05 ending February 02, 2019","2019/05","Renal failure","N17-N19","65-74 years","65-74",12,"Not Applicable","Not Applicable"
"1773",NA,"Florida","12","2019 Week 05 ending February 02, 2019","2019/05","Renal failure","N17-N19","75-84 years","75-84",22,"Not Applicable","Not Applicable"
"1774",NA,"Florida","12","2019 Week 05 ending February 02, 2019","2019/05","Renal failure","N17-N19","85+ years","85+",10,"Not Applicable","Not Applicable"
"1775",NA,"Florida","12","2019 Week 06 ending February 09, 2019","2019/06","Renal failure","N17-N19","55-64 years","55-64",10,"Not Applicable","Not Applicable"
"1776",NA,"Florida","12","2019 Week 06 ending February 09, 2019","2019/06","Renal failure","N17-N19","65-74 years","65-74",11,"Not Applicable","Not Applicable"
"1777",NA,"Florida","12","2019 Week 06 ending February 09, 2019","2019/06","Renal failure","N17-N19","75-84 years","75-84",15,"Not Applicable","Not Applicable"
"1778",NA,"Florida","12","2019 Week 06 ending February 09, 2019","2019/06","Renal failure","N17-N19","85+ years","85+",23,"Not Applicable","Not Applicable"
"1779",NA,"Florida","12","2019 Week 07 ending February 16, 2019","2019/07","Renal failure","N17-N19","55-64 years","55-64",11,"Not Applicable","Not Applicable"
"1780",NA,"Florida","12","2019 Week 07 ending February 16, 2019","2019/07","Renal failure","N17-N19","65-74 years","65-74",11,"Not Applicable","Not Applicable"
"1781",NA,"Florida","12","2019 Week 07 ending February 16, 2019","2019/07","Renal failure","N17-N19","75-84 years","75-84",25,"Not Applicable","Not Applicable"
"1782",NA,"Florida","12","2019 Week 07 ending February 16, 2019","2019/07","Renal failure","N17-N19","85+ years","85+",24,"Not Applicable","Not Applicable"
"1783",NA,"Florida","12","2019 Week 08 ending February 23, 2019","2019/08","Renal failure","N17-N19","55-64 years","55-64",12,"Not Applicable","Not Applicable"
"1784",NA,"Florida","12","2019 Week 08 ending February 23, 2019","2019/08","Renal failure","N17-N19","65-74 years","65-74",15,"Not Applicable","Not Applicable"
"1785",NA,"Florida","12","2019 Week 08 ending February 23, 2019","2019/08","Renal failure","N17-N19","75-84 years","75-84",15,"Not Applicable","Not Applicable"
"1786",NA,"Florida","12","2019 Week 08 ending February 23, 2019","2019/08","Renal failure","N17-N19","85+ years","85+",18,"Not Applicable","Not Applicable"
"1787",NA,"Florida","12","2019 Week 09 ending March 02, 2019","2019/09","Renal failure","N17-N19","55-64 years","55-64",12,"Not Applicable","Not Applicable"
"1788",NA,"Florida","12","2019 Week 09 ending March 02, 2019","2019/09","Renal failure","N17-N19","65-74 years","65-74",14,"Not Applicable","Not Applicable"
"1789",NA,"Florida","12","2019 Week 09 ending March 02, 2019","2019/09","Renal failure","N17-N19","75-84 years","75-84",19,"Not Applicable","Not Applicable"
"1790",NA,"Florida","12","2019 Week 09 ending March 02, 2019","2019/09","Renal failure","N17-N19","85+ years","85+",15,"Not Applicable","Not Applicable"
"1791",NA,"Florida","12","2019 Week 10 ending March 09, 2019","2019/10","Renal failure","N17-N19","75-84 years","75-84",17,"Not Applicable","Not Applicable"
"1792",NA,"Florida","12","2019 Week 10 ending March 09, 2019","2019/10","Renal failure","N17-N19","85+ years","85+",27,"Not Applicable","Not Applicable"
"1793",NA,"Florida","12","2019 Week 11 ending March 16, 2019","2019/11","Renal failure","N17-N19","65-74 years","65-74",19,"Not Applicable","Not Applicable"
"1794",NA,"Florida","12","2019 Week 11 ending March 16, 2019","2019/11","Renal failure","N17-N19","75-84 years","75-84",26,"Not Applicable","Not Applicable"
"1795",NA,"Florida","12","2019 Week 11 ending March 16, 2019","2019/11","Renal failure","N17-N19","85+ years","85+",16,"Not Applicable","Not Applicable"
"1796",NA,"Florida","12","2019 Week 12 ending March 23, 2019","2019/12","Renal failure","N17-N19","65-74 years","65-74",18,"Not Applicable","Not Applicable"
"1797",NA,"Florida","12","2019 Week 12 ending March 23, 2019","2019/12","Renal failure","N17-N19","75-84 years","75-84",21,"Not Applicable","Not Applicable"
"1798",NA,"Florida","12","2019 Week 12 ending March 23, 2019","2019/12","Renal failure","N17-N19","85+ years","85+",21,"Not Applicable","Not Applicable"
"1799",NA,"Florida","12","2019 Week 13 ending March 30, 2019","2019/13","Renal failure","N17-N19","65-74 years","65-74",15,"Not Applicable","Not Applicable"
